Name,Style,Brewery,ABV,rating,minIBU,maxIBU,Astringency,Body,Alcohol,Bitter,Sweet,Sour,Salty,Fruits,Hoppy,Spices,Malty
Boffo Brown Ale,Brown Ale - English,Dark Horse Brewing Company,7,3.79,15,25,11,80,18,60,66,4,0,9,56,8,130
Oatmeal Raisin Cookie Brown Ale,Brown Ale - English,Cigar City Brewing,5.5,4.11,15,25,6,66,12,19,133,18,3,60,17,72,162
Rugged Trail Nut Brown Ale,Brown Ale - English,Tr̦egs Brewing Company,5,3.74,15,25,14,64,3,54,59,16,0,15,52,8,148
Black Toad Dark Ale,Brown Ale - English,Black Toad Brewing Co.,5.3,3.66,15,25,8,48,7,57,50,5,1,7,47,1,114
Brown Ale,Brown Ale - English,Legend Brewing Co.,6,3.83,15,25,19,34,6,34,42,9,0,5,30,0,84
Brewhouse Brown Ale,Brown Ale - English,Real Ale Brewing Company,5.4,3.59,15,25,20,72,14,50,78,7,0,9,32,7,133
The Brown Note,Brown Ale - English,Against The Grain Brewery & Smokehouse,5,3.8,15,25,13,57,5,41,56,6,0,10,45,5,117
Nut Brown Ale,Brown Ale - English,Ithaca Beer Company,5.4,3.61,15,25,8,62,18,53,62,4,0,6,35,15,168
Pig's Ear Brown Ale,Brown Ale - English,Woodstock Inn Brewery,4.3,3.58,15,25,12,55,12,46,66,13,0,10,53,4,130
Bar Harbor Real Ale,Brown Ale - English,Atlantic Brewing Company / Mainely Meat BBQ,5.2,3.58,15,25,21,62,9,42,62,20,1,21,59,7,131
Chomolungma,Brown Ale - English,Jackie O's Pub & Brewery,6.5,3.81,15,25,8,45,6,36,70,15,1,15,31,4,112
Nut Brown Ale,Brown Ale - English,Peak Organic Brewing Company,4.7,3.48,15,25,17,58,4,54,67,8,0,7,60,3,141
Woodmaster,Brown Ale - English,Short's Brewing Company,9.9,3.92,15,25,9,49,49,18,158,25,0,38,28,15,152
Bad Penny,Brown Ale - English,Big Boss Brewing,5.2,3.61,15,25,13,54,9,24,48,12,0,11,21,2,103
Euforia,Brown Ale - English,DuClaw Brewing Company,5,3.58,15,25,11,48,8,29,65,5,0,5,29,8,147
Brown Ale,Brown Ale - English,Upslope Brewing Company - Lee Hill,6.7,3.94,15,25,17,83,13,64,90,9,0,6,54,11,154
Brunette Nut Brown Ale,Brown Ale - English,Nebraska Brewing Company Production Brewery & Tap Room,4.8,3.54,15,25,13,55,2,25,64,13,1,21,28,2,117
